Kecamatan;;;Islam;Protestan;Katolik;Hindu;Budha;Lainnya
Subdistrict;;;Islam;Protestant;Catholic;Hindu;Buddha;Others
(1);;;(2);(3);(4);(5);(6);(7)
Mijen;;;72.333;10.009;7.248;64;3.332;56
Gunungpati;;;92.947;11.017;6.862;44;1.701;32
Banyumanik;;;122.294;11.069;6.761;184;1.730;67
Gajah Mungkur;;;49.914;4.247;2.427;53;253;19
Semarang Selatan;;;57.007;3.042;1.537;41;119;19
Candisari;;;68.249;16.642;10.621;84;975;27
Tembalang;;;166.567;5.423;5.223;238;297;19
Pedurungan;;;167.167;5.005;5.986;136;234;30
